MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIBUS,197611,841.786,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197612,901.155,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197613,9720.234,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197701,930.221,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197702,809.993,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197703,800.921,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197704,732.109,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197705,799.044,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197706,863.31,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197707,967.036,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197708,949.743,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197709,863.662,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197710,825.201,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197711,832.547,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197712,888.238,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197713,10262.025,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197801,908.626,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197802,762.348,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197803,723.446,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197804,736.489,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197805,791.418,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197806,867.893,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197807,938.617,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197808,979.5,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197809,907.295,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197810,847.869,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197811,845.703,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197812,929.065,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197813,10238.271,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197901,1002.004,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197902,894.97,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197903,892.615,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197904,832.754,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197905,887.285,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197906,940.189,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197907,1030.095,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197908,1037.204,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197909,900.865,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197910,918.012,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197911,918.223,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197912,1005.708,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,197913,11259.923,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198001,1072.641,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198002,1011.776,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198003,994.155,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198004,866.542,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198005,882.968,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198006,975.75,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198007,1142.586,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198008,1133.189,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198009,1020.314,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198010,960.237,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198011,973.137,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198012,1089.388,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198013,12122.684,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198101,1153.098,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198102,1010.262,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198103,1020.476,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198104,920.934,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198105,948.814,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198106,1055.931,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198107,1183.802,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198108,1148.77,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198109,1022.256,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198110,1007.873,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198111,991.286,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198112,1119.96,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198113,12583.461,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198201,1204.359,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198202,1035.912,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198203,1014.857,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198204,921.731,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198205,966.905,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198206,1005.107,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198207,1170.917,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198208,1162.236,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198209,1026.094,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198210,981.915,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198211,1013.052,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198212,1079.067,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198213,12582.15,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198301,1127.477,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198302,967.307,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198303,995.566,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198304,921.158,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198305,965.583,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198306,1063.791,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198307,1276.222,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198308,1347.582,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198309,1145.667,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198310,1071.212,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198311,1081.697,1,Coal Consumed by the Electric Power Sector,Trillion Btu
